지역,도,연도,매화_개화일,매화_개화일_DOY,매화_개화일_결측치_수정여부,매화_적산온도,매화_개화전_일조합계,개나리_개화일,개나리_개화일_DOY,개나리_개화일_결측치_수정여부,개나리_적산온도,개나리_개화전_일조합계,진달래_개화일,진달래_개화일_DOY,진달래_개화일_결측치_수정여부,진달래_적산온도,진달래_개화전_일조합계,벚나무_개화일,벚나무_개화일_DOY,벚나무_개화일_결측치_수정여부,벚나무_적산온도,벚나무_개화전_일조합계,1-5월_평균기온,1-5월_평균일조
광주,광주,1973,1973-04-04,94.0,False,115.2,510.1,1973-03-26,85.0,False,50.2,510.1,1973-03-26,85.0,False,50.2,510.1,1973-04-02,92.0,False,109.3,510.1,8.6,187.7
광주,광주,1974,1974-04-06,96.0,False,95.1,516.7,1974-04-01,91.0,False,61.4,516.7,1974-04-01,91.0,False,61.4,516.7,1974-04-08,98.0,False,116.7,516.7,7.26,189.6
광주,광주,1975,1975-04-13,103.0,False,97.5,464.3,1975-03-27,86.0,False,25.7,464.3,1975-03-29,88.0,False,29.3,464.3,1975-04-09,99.0,False,70.5,464.3,7.46,168.1
광주,광주,1976,1976-03-15,75.0,False,61.0,527.2,1976-03-13,73.0,False,52.3,310.1,1976-03-20,80.0,False,70.6,527.2,1976-04-03,94.0,False,96.6,527.2,7.59,189.0
광주,광주,1977,1977-03-13,72.0,False,40.8,365.4,1977-03-29,88.0,False,93.4,516.7,1977-03-26,85.0,False,86.8,516.7,1977-04-09,99.0,False,166.1,516.7,7.05,173.9
광주,광주,1978,1978-03-17,76.0,False,20.9,535.8,1978-03-31,90.0,False,55.7,535.8,1978-03-31,90.0,False,55.7,535.8,1978-04-08,98.0,False,89.8,535.8,7.84,211.9
광주,광주,1979,1979-03-10,69.0,False,61.8,286.5,1979-03-20,79.0,False,80.3,508.1,1979-03-21,80.0,False,86.0,508.1,1979-03-30,89.0,False,130.9,508.1,8.51,204.8
광주,광주,1980,1980-03-14,74.0,False,37.4,354.8,1980-03-29,89.0,False,62.9,550.8,1980-04-02,93.0,False,78.2,550.8,1980-04-07,98.0,False,117.3,550.8,7.17,204.0
광주,광주,1981,1981-03-09,68.0,False,9.0,349.2,1981-03-23,82.0,False,64.5,564.0,1981-03-27,86.0,False,75.4,564.0,1981-04-01,91.0,False,102.6,564.0,7.3,207.9
광주,광주,1982,1982-03-10,69.0,False,27.0,344.9,1982-03-22,81.0,False,77.0,563.7,1982-03-22,81.0,False,77.0,563.7,1982-03-31,90.0,False,106.3,563.7,8.15,206.1
광주,광주,1983,1983-03-16,75.0,True,21.5,499.6,1983-03-26,85.0,False,67.6,499.6,1983-03-28,87.0,False,78.7,499.6,1983-04-04,94.0,False,110.0,499.6,8.25,179.8
광주,광주,1984,1984-03-15,75.0,True,3.5,601.5,1984-04-07,98.0,False,69.2,601.5,1984-04-08,99.0,False,73.4,601.5,1984-04-11,102.0,False,92.0,601.5,6.74,212.5
광주,광주,1985,1985-03-22,81.0,False,32.6,530.6,1985-04-02,92.0,False,66.5,530.6,1985-03-28,87.0,False,59.8,530.6,1985-04-08,98.0,False,97.7,530.6,7.63,186.6
광주,광주,1986,1986-04-01,91.0,False,65.2,621.5,1986-04-01,91.0,False,65.2,621.5,1986-03-28,87.0,False,48.3,621.5,1986-04-06,96.0,False,96.5,621.5,7.14,224.7
광주,광주,1987,1987-03-22,81.0,False,57.4,511.4,1987-03-27,86.0,False,65.0,511.4,1987-03-23,82.0,False,63.3,511.4,1987-04-05,95.0,False,94.0,511.4,7.79,191.6
광주,광주,1988,1988-03-23,83.0,False,39.3,519.2,1988-04-02,93.0,False,81.4,519.2,1988-04-01,92.0,False,73.4,519.2,1988-04-08,99.0,False,108.4,519.2,7.64,200.4
광주,광주,1989,1989-03-18,77.0,False,81.0,455.7,1989-03-20,79.0,False,89.5,455.7,1989-03-22,81.0,False,93.1,455.7,1989-04-02,92.0,False,141.1,455.7,9.32,187.6
광주,광주,1990,1990-03-27,86.0,False,126.2,435.5,1990-03-21,80.0,False,82.6,435.5,1990-03-22,81.0,False,90.9,435.5,1990-03-28,87.0,False,132.7,435.5,8.62,166.2
광주,광주,1991,1991-04-03,93.0,False,90.6,476.0,1991-03-29,88.0,False,83.9,476.0,1991-04-03,93.0,False,90.6,476.0,1991-04-08,98.0,False,131.0,476.0,8.39,192.3
